🔗 Audit address,🧍 Original author,📋 Audit topic,⭐️ Audit value,📝 Audit notes,🗂️ Category,🎬 Action,🧑‍💻 Editor,📄 New format,✅ Done,Recommendations
https://accessibility.civicactions.com/about/people/mike-gifford,Mike,Contributors,1 High,High number of impressions,About,Update in place now,Mike Gifford,Person,FALSE,"High number of impressions. Does this need any updates, Mike?"
https://accessibility.civicactions.com/guide/champions-program,Mike,Champions,1 High,Lot of info on this page. Consider breaking up.,Champion Accessibility,Update in place now,Jacqueline Quintanilla,Detail,TRUE,Apply detail page format. Review for readability. Reframe as “CivicActions’ Accessibility Champions program.”
https://accessibility.civicactions.com/guide/design,Mike,Tools,1 High,,Accessibility Guides,Update in place now,Adrian Cooke,Topic,FALSE,"Convert to topic page. Write intro copy. Create info hierarchy on page. Emphasize USWDS. Offload link lists to Github, etc. if possible."
https://accessibility.civicactions.com/guide/history,"Mike, Jack",General accessibility,1 High,High click-through rate,Accessibility Guides,Update in place now,Laura Flannery,Detail,FALSE,"High value page, high click-through rate. Last updated 2021. Update to include WCAG 2.2, M-23-22 (briefly), and M-24-08."
https://accessibility.civicactions.com/guide/onboarding-staff,Mike,Methods,1 High,Lot of info on this page. Consider breaking up.,Champion Accessibility,Update in place now,Jordan Wood,Guide,TRUE,"This one should probably be turned into a how-to for orgs generally, with any remainder put into the Handbook or CA Confluence."
https://accessibility.civicactions.com/guide/plain-language,Nira,Content quality,1 High,Lot of info on this page. Consider breaking up.,Accessibility Guides,Update in place now,Jordan Wood,Guide,TRUE,Apply guide format. Suggest subdividing page into starting points and further reading. Focus should be on the former. 
https://accessibility.civicactions.com/guide/tools,"Mike, Jack",Tools,1 High,Lot of info on this page. Consider breaking up.,Accessibility Guides,Update in place now,Jordan Wood,Detail,TRUE,"For each subhead, describe what we look for in a tool in that category, then list the three best ones. Additional options can be below that."
https://accessibility.civicactions.com/guide/training,"Luke, Jack",Training,1 High,,Champion Accessibility,Update in place now,Jordan Wood,Topic,TRUE,Expand into topic page for training and certification. Bigger lift but will be a good landing page for related items.
https://accessibility.civicactions.com/playbook/automated-testing,"Mike, Daniel",Automated testing,1 High,,Accessibility Guides,Update in place now,Daniel Mundra,Guide,TRUE,This is close. Recommend applying guide format that answers what is automated testing and how to set it up. (see Plain Language for a good starting point on the format.)
https://accessibility.civicactions.com/playbook/roles,Mike,Methods,1 High,Lot of info on this page. Consider breaking up.,Champion Accessibility,Update in place now,Jordan Wood,Topic,TRUE,Role-related content goes in Champion. Expand into topic page for the roles detail pages. Reduce links to most-recommended and delete the rest or move to internal page. List of roles can be found on this page. The approach of this W3C page may be a helpful model.
https://accessibility.civicactions.com/about/contact,Jennifer,General accessibility,2 Normal,,About,Update in place now,Jordan Wood,Transaction,TRUE,Form field Subject seems to have the wrong label. Is it subject or body? All links should be checked to make sure they still work and are relevant. Do relevant links need to be added?
https://accessibility.civicactions.com/guide/documents,"Jennifer, Mike",General accessibility,2 Normal,,Accessibility Guides,Update in place now,Adrian Cooke,Topic,FALSE,Add explanatory text. Develop the CivicActions Accessibility viewpoint on documents. Reduce the number of links if not all of them are necessary. Highlight preferred resources for documents. Check remaining links to make sure they work and are still leading to relevant content.
https://accessibility.civicactions.com/guide/resources,"Jack, Mike",Training,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,"A page like this can be made more relevant by reframing, e.g. “If you only have five minutes and are interested in X take a look at Y” for each section. All links should be checked to make sure they still work and are relevant."
https://accessibility.civicactions.com/guide/semantic-html,Jennifer,General accessibility,2 Normal,Redirects,Accessibility Guides,Update in place now,Laura Flannery,Detail,TRUE,"Suggest reframing this page as a way to prevent accessibility issues or cut down on them out of the gate. Talk about native element semantics and how they map to browser accessibility APIs, doing a lot of the hard work for you. Mention first rule of ARIA. Mention HTML Validator as first line of defence against accessibility errors. "
https://accessibility.civicactions.com/guide/social-media,"Mike, Luke",Content quality,2 Normal,,Accessibility Guides,Update in place now,Jordan Wood,Detail,TRUE,"Overall this page is good, but may need to be restrucured slightly when reviewed. Alexa Heinrich has done a lot with the Accessible Social project which is worth emphasizing. It’s a very good starting point and is very experiment-driven. "
https://accessibility.civicactions.com/playbook/AT,"Mike, Daniel",Tools,2 Normal,,Accessibility Guides,Update in place now,Laura Flannery,Detail,TRUE,Consider whether this page should be converted into a how-to guide. Say more about VoiceOver: pragmatic since a lot of designers and developers have easy access to it. Add headers to better structure the content. 
https://accessibility.civicactions.com/playbook/authoring,"Mike, Daniel",Tools,2 Normal,Questions/headers could be emphasized more,Accessibility Guides,Update in place now,Jenna Waszak,Detail,FALSE,Consider whether this page should be converted to a how-to guide or remain a detail page. Add headers to better structure the content. Make Drupal-focused?
https://accessibility.civicactions.com/playbook/checklists,Mike,Manual testing,2 Normal,,Accessibility Guides,Update in place now,Laura Flannery,Detail,TRUE,Reduce the number of links if not all of them are necessary.
https://accessibility.civicactions.com/playbook/community,"Mike, Daniel",Champions,2 Normal,,Champion Accessibility,Update in place now,,Detail,FALSE,This works as a detail page with Recommendations instead of a Checklist since there are lots of directions people could take. Would recommend linking to the Social Media page because Accessible Social is an example of a great community of practitioners.
https://accessibility.civicactions.com/playbook/distributed-teams,Daniel,Champions,2 Normal,,Accessibility Guides,Update in place now,Jenna Waszak,Detail,FALSE,It might make this page more authoritative to mention that care still needs to be taken to ensure digital workplaces are inclusive. Resources section: Reduce the number of links if necessary and change hyperlinks to desciptive text. 
