Address,Title 1,Meta Description 1,Readability,Format,Topic,Value,Notes
https://accessibility.civicactions.com/guide/plain-language,Plain language | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Easy,Guide,Content quality,1 High,Lot of info on this page. Consider breaking up.
https://accessibility.civicactions.com/playbook/automated-testing,Implement automated testing | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Automated testing,1 High,
https://accessibility.civicactions.com/guide/champions-program,Champions program | CivicActions Accessibility,Outlining the basics of CivicActions Champions Program,Hard,Detail,Champions,1 High,Lot of info on this page. Consider breaking up.
https://accessibility.civicactions.com/about/people/mike-gifford,Mike Gifford | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,1 High,High number of impressions
https://accessibility.civicactions.com/guide/history,History | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,General accessibility,1 High,High click-through rate
https://accessibility.civicactions.com/guide/onboarding-staff,Onboarding staff | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Methods,1 High,Lot of info on this page. Consider breaking up.
https://accessibility.civicactions.com/playbook/roles,Provide role based evaluations | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Methods,1 High,Lot of info on this page. Consider breaking up.
https://accessibility.civicactions.com/guide/tools,Tools | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Tools,1 High,Lot of info on this page. Consider breaking up.
https://accessibility.civicactions.com/guide/design,Design systems | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Tools,1 High,
https://accessibility.civicactions.com/,Home | CivicActions Accessibility,CivicActions Accessibility site is an open project for our team members and those who work for digital inclusion.,Hard,Homepage,,1 High,Homepage
https://accessibility.civicactions.com/search,Search | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Search,,1 High,
https://accessibility.civicactions.com/posts/helping-disabled-veterans-check-in-designing-an-accessibility-map,Helping disabled Veterans Check-In: Designing an Accessibility Map | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Methods,1 High,
https://accessibility.civicactions.com/guide/training,Training/certifications | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Training,1 High,
https://accessibility.civicactions.com/posts/automated-accessibility-testing-leveraging-github-actions-and-pa11y-ci-with-axe,Automated accessibility testing: Leveraging GitHub Actions and pa11y-ci with axe | CivicActions Accessibility,Using GitHub and open source technology -- general and accessibility-specific -- we created a continuous accessibility integration environment that helps us better practice what we preach.,Normal,News,Automated testing,1 High,Consider emphasizing
https://accessibility.civicactions.com/guide,,,Normal,Section index,,1 High,
https://accessibility.civicactions.com/guide/,CivicActions Accessibility Guide | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Section index,,1 High,
https://accessibility.civicactions.com/playbook,,,Normal,Section index,,1 High,
https://accessibility.civicactions.com/playbook/,CivicActions Accessibility Playbook | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Section index,,1 High,
https://accessibility.civicactions.com/posts/qa-with-mike-gifford-accessibility-in-civic-tech,Q&A with Mike Gifford: Accessibility in civic tech | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,News,Champions,3 Low,Low number of views.
https://accessibility.civicactions.com/posts/whitehouse.gov-beginning-an-accessibility-journey,WhiteHouse.gov: Beginning an accessibility journey | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,News,Champions,3 Low,Low number of views. Heading levels don't seem to be correct.
https://accessibility.civicactions.com/about/people/allison-carroll,Allison Carroll | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/about/people/civicactions,Civicactions | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Structured like people page. Probably shouldn't be.
https://accessibility.civicactions.com/about/people/daniel-mundra,Daniel Mundra | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/about/people/jack-haas,Jack Haas | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/about/people/jennifer-houde,Jennifer Houde | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/about/people/jonathan-bourland,Jonathan Bourland | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
